35,78,11,78,81,0
30,44,13,17,51,0
36,73,74,74,62,0
60,86,11,97,24,1
79,75,9,34,26,1
45,56,84,34,89,0
61,97,32,2,79,1
75,47,81,50,84,1
76,87,80,87,79,1
84,44,63,25,93,1
96,38,90,3,66,0
75,31,96,95,90,0
82,76,17,93,66,1
69,98,92,62,60,1
40,76,45,4,17,0
54,89,51,50,74,1
69,53,31,35,86,1
68,47,97,39,52,0
71,93,66,56,7,1
77,48,20,41,1,1
67,43,80,81,76,0
90,66,42,76,40,1
51,49,44,68,69,0
34,44,80,31,2,0
78,69,71,44,86,1
62,70,1,12,40,1
80,45,32,62,95,1
93,39,35,84,84,0
62,50,32,76,69,0
39,65,96,9,85,0
61,73,44,76,17,1
85,57,94,97,77,1
52,63,79,72,22,0
52,69,48,48,93,1
40,71,7,26,65,0
55,52,42,89,84,0
34,99,51,80,61,0
64,81,36,86,76,1
75,42,19,78,54,0
34,75,32,36,60,0
84,56,84,17,30,1
52,47,45,20,68,0
94,66,56,51,49,1
82,41,46,5,76,0
51,46,12,54,40,0
62,52,84,7,61,0
77,70,87,95,2,1
98,87,28,44,19,1
62,97,60,5,18,1
92,89,21,69,56,1
80,74,24,7,90,1
99,61,67,86,46,1
91,43,21,81,62,1
35,60,22,40,78,0
50,50,11,50,43,0
50,60,11,37,12,0
98,69,70,15,13,1
33,96,51,3,57,0
74,70,12,54,86,1
72,78,45,80,46,1
75,86,84,28,30,1
35,47,50,2,94,0
56,39,83,53,34,0
30,50,45,31,4,0
45,66,87,91,48,0
67,41,15,47,72,0
40,98,67,33,68,1
49,52,53,81,7,0
80,92,53,51,29,1
67,61,98,19,39,1
